model,mean_rmse,std_rmse,mean_mae,mean_mape_percent
holt_winters__0.2_0.05_0.2,281.70816097991815,76.03349803435846,215.10410106534835,10.739363265243432
seasonal_naive,305.8768410203475,128.42100240142275,240.7222222222222,10.78131141353587
ridge_lag_1_12,310.8828783680336,108.30784564815332,246.35528927619092,11.11057971487733
trend_plus_month,336.43363614636957,66.0652388903387,236.96803501606288,12.37914161496324
holt_winters__0.3_0.1_0.3,338.9042021512046,87.45990727039361,269.1904502287878,12.96904972054658
holt_winters__0.5_0.1_0.2,364.38526788922917,178.36337795703997,297.20971550094697,13.20046882543891
