product,fold,model,mae,rmse,r_squared,mape_percent
rose,1,seasonal_naive,9.833333333333334,11.467344941179714,0.7539852671785477,14.553523181786234
rose,1,trend_plus_month,11.84686398872447,14.072287747303083,0.6295199923116876,16.213364441673583
rose,1,ridge_lag_1_12,13.676172045432509,14.472546113161153,0.6081451312357778,19.66238469471993
rose,1,holt_winters__0.2_0.05_0.2,10.991404579488355,12.838802298430391,0.6916212911099228,14.25855526095749
rose,1,holt_winters__0.3_0.1_0.3,11.02698984186713,12.652526404534465,0.7005047990007714,15.135890627722087
rose,1,holt_winters__0.5_0.1_0.2,17.17726861375164,20.182536954832788,0.23794401914513885,23.61400552595735
rose,2,seasonal_naive,15.583333333333334,18.35528988239267,-0.16055879820112917,25.96184126443934
rose,2,trend_plus_month,6.640447023425722,10.049560388231752,0.6521125343142472,10.018000510897295
rose,2,ridge_lag_1_12,18.04088698100622,19.528215665469293,-0.3136200798751212,34.24587385300833
rose,2,holt_winters__0.2_0.05_0.2,17.52769992445886,19.1709495423796,-0.26599474010455726,29.09336718836381
rose,2,holt_winters__0.3_0.1_0.3,23.244363585638524,23.821216335825714,-0.9546658231609948,39.89708254838922
rose,2,holt_winters__0.5_0.1_0.2,40.57342945793744,41.99486675124929,-5.0748711132319,69.891659058733
rose,3,seasonal_naive,9.916666666666666,11.961744577332077,0.2638010504877264,19.547962964656204
rose,3,trend_plus_month,9.922008547008547,12.995103144295502,0.13110838513429268,18.024624467050817
rose,3,ridge_lag_1_12,13.811930203743279,15.005919055054875,-0.1585941816882015,30.544372577287277
rose,3,holt_winters__0.2_0.05_0.2,8.804883558942157,12.832577550539714,0.1527063740647916,15.438836686905013
rose,3,holt_winters__0.3_0.1_0.3,9.15422430413561,12.175991762879063,0.23719270879348886,16.90332954450584
rose,3,holt_winters__0.5_0.1_0.2,23.34245402106851,27.116162143243955,-2.783228638672681,45.63804415835293
sparkling,1,seasonal_naive,333.8333333333333,407.4714713940106,0.9075047341787932,14.600373294762056
sparkling,1,trend_plus_month,277.03252290345256,407.05394537148834,0.9076941923229176,16.751451400025683
sparkling,1,ridge_lag_1_12,316.26198893892234,394.36416840865525,0.9133596921793804,13.897086842960823
sparkling,1,holt_winters__0.2_0.05_0.2,268.74893153805436,360.4938759210971,0.9276029496294061,14.934760036945468
sparkling,1,holt_winters__0.3_0.1_0.3,344.5480426077068,439.8416260318905,0.8922250709089458,17.97038005865096
sparkling,1,holt_winters__0.5_0.1_0.2,510.4866675036319,565.8929475062063,0.8216004918027441,23.53959333487508
sparkling,2,seasonal_naive,273.9166666666667,348.6255154173314,0.9237090578509841,12.943489874823024
sparkling,2,trend_plus_month,221.0336610788735,326.10737100980947,0.933246218925939,9.497862173134193
sparkling,2,ridge_lag_1_12,282.08840276294103,349.78803354097175,0.9231994137195001,13.271279977481685
sparkling,2,holt_winters__0.2_0.05_0.2,209.5241887546226,275.86677388316264,0.9522301990495313,8.919682035367993
sparkling,2,holt_winters__0.3_0.1_0.3,203.18656029398198,291.2573202897124,0.9467513822737134,8.788873492379903
sparkling,2,holt_winters__0.5_0.1_0.2,241.55402391900716,300.5026348386181,0.9433172113738264,9.770850516976683
sparkling,3,seasonal_naive,114.41666666666667,161.53353624970057,0.9847628402314573,4.800071071022532
sparkling,3,trend_plus_month,212.83792106586213,276.1395920578107,0.9554717140501509,10.888111271729816
sparkling,3,ridge_lag_1_12,140.7154761267099,188.49643315447423,0.9792515865586621,6.163372324189491
sparkling,3,holt_winters__0.2_0.05_0.2,167.0391829033681,208.7638331354947,0.9745499204100692,8.363647723416829
sparkling,3,holt_winters__0.3_0.1_0.3,259.8367477846748,285.6136601320108,0.9523638592774709,12.147895610608883
sparkling,3,holt_winters__0.5_0.1_0.2,139.58845508020175,226.76022132286295,0.9699729709265508,6.290962624464969
