,Roosevelt 1941,Kennedy 1961,Nixon 1973
Roosevelt 1941,0.9999999999999988,0.07402499644851962,0.08466142964486238
Kennedy 1961,0.07402499644851962,0.9999999999999996,0.11406895263644695
Nixon 1973,0.08466142964486238,0.11406895263644695,1.000000000000008
