document,1,2,3
Kennedy 1961,0.5882352941176471,0.1568627450980392,0.2549019607843137
Nixon 1973,0.6268656716417911,0.19402985074626866,0.1791044776119403
Roosevelt 1941,0.203125,0.5625,0.234375
