,words,sentences,unique_words,unique_content_words,lexical_diversity,average_sentence_words,flesch_reading_ease_approximate
Roosevelt 1941,1346,67,490,375,0.3640416047548291,20.08955223880597,59.984074759929925
Kennedy 1961,1367,54,532,409,0.38917337234820776,25.314814814814813,59.22239419924682
Nixon 1973,1818,71,505,378,0.2777777777777778,25.6056338028169,56.78389555152701
