clusters,silhouette,davies_bouldin,mean_seed_stability_ari,smallest_cluster_share
2,0.39529437024474867,0.986892147070004,1.0,0.46551724137931033
3,0.36773894427414106,0.942168004097205,1.0,0.28620689655172415
4,0.35537239317270086,0.9291173693867614,0.9925490298409183,0.1482758620689655
5,0.3686235304120898,0.8512590105406275,0.9958947491699418,0.11206896551724138
6,0.36916708675571147,0.861707838925312,0.945562692507761,0.08275862068965517
