feature,rmse_importance,importance_std
y,2817.4166221978467,23.42102143701029
carat,2076.5015826109657,22.146507512569933
clarity,1123.5471533537698,24.727302729301957
color,724.6651859152796,16.892531686258316
z,447.49326033602546,6.628610717016318
x,57.04977938570734,2.0326667393337763
cut,37.338773288946584,2.8594489399072907
depth,18.581153177405884,2.3019052877359774
table,2.01195579258233,1.130698255342438
